date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:56:59	68635/68635	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2018:57:00%20GMT	https://memoryiit.com/create	J:/site/teste%202/test2/memoryiit.com/create.html	(from )
15:56:59	44628/44628	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2031%20Jul%202025%2018:57:01%20GMT	https://memoryiit.com/robots.txt		(from )
15:57:00	5756/5756	---MCZ	200	added ('OK')	text/css	etag:W/%2274202c5538813c478d83fbde46462c7f%22	https://memoryiit.com/_next/static/css/b80c2cef9bcf1d42.css?dpl=dpl_ACQrE8BNFomMJW49yYzRjaqoqF9G	J:/site/teste%202/test2/memoryiit.com/_next/static/css/b80c2cef9bcf1d42d743.css	(from https://memoryiit.com/create)
15:57:00	152156/152156	---MCZ	200	added ('OK')	text/css	etag:W/%2288251ea9194aefcee340e8230858a54c%22	https://memoryiit.com/_next/static/css/13ade2c17d53e2d2.css?dpl=dpl_ACQrE8BNFomMJW49yYzRjaqoqF9G	J:/site/teste%202/test2/memoryiit.com/_next/static/css/13ade2c17d53e2d2d743.css	(from https://memoryiit.com/create)
15:57:00	3958/3958	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bb1488da8e8f7aef1cab75209ea08c38%22	https://memoryiit.com/_next/static/chunks/webpack-6c8f5765f8498025.js?dpl=dpl_ACQrE8BNFomMJW49yYzRjaqoqF9G	J:/site/teste%202/test2/memoryiit.com/_next/static/chunks/webpack-6c8f5765f8498025d743.js	(from https://memoryiit.com/create)
15:57:01	168419/168419	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dd4884aac0854eb3a70f00647a62aaca%22	https://memoryiit.com/_next/static/chunks/4bd1b696-791d2189e42a38e4.js?dpl=dpl_ACQrE8BNFomMJW49yYzRjaqoqF9G	J:/site/teste%202/test2/memoryiit.com/_next/static/chunks/4bd1b696-791d2189e42a38e4d743.js	(from https://memoryiit.com/create)
15:57:01	169134/169134	---MCZ	200	added ('OK')	application/javascript	etag:W/%2212b288a88a66aacd320d40c7f87f984c%22	https://memoryiit.com/_next/static/chunks/9da6db1e-8f10c927e8807314.js?dpl=dpl_ACQrE8BNFomMJW49yYzRjaqoqF9G	J:/site/teste%202/test2/memoryiit.com/_next/static/chunks/9da6db1e-8f10c927e8807314d743.js	(from https://memoryiit.com/create)
15:57:02	388198/388198	---MCZ	200	added ('OK')	application/javascript	etag:W/%22777cb29752505255b2c34d2491f7ff66%22	https://memoryiit.com/_next/static/chunks/6922-739fe831f2835e49.js?dpl=dpl_ACQrE8BNFomMJW49yYzRjaqoqF9G	J:/site/teste%202/test2/memoryiit.com/_next/static/chunks/6922-739fe831f2835e49d743.js	(from https://memoryiit.com/create)
15:57:02	1676/1676	---MCZ	200	added ('OK')	application/javascript	etag:W/%220e1e1ab024eb2aff286682470cad2cdd%22	https://memoryiit.com/_next/static/chunks/main-app-e5be710ab5f28b47.js?dpl=dpl_ACQrE8BNFomMJW49yYzRjaqoqF9G	J:/site/teste%202/test2/memoryiit.com/_next/static/chunks/main-app-e5be710ab5f28b47d743.js	(from https://memoryiit.com/create)
15:57:03	47982/47982	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b8ca359a2e9bb955ebf6bafcc1e8ba46%22	https://memoryiit.com/_next/static/chunks/2797-98d28b5e85160a4b.js?dpl=dpl_ACQrE8BNFomMJW49yYzRjaqoqF9G	J:/site/teste%202/test2/memoryiit.com/_next/static/chunks/2797-98d28b5e85160a4bd743.js	(from https://memoryiit.com/create)
15:57:03	26772/26772	---MCZ	200	added ('OK')	application/javascript	etag:W/%227255f9ea34f712a7d7849920e8cea7e9%22	https://memoryiit.com/_next/static/chunks/2848-da10e80353973a64.js?dpl=dpl_ACQrE8BNFomMJW49yYzRjaqoqF9G	J:/site/teste%202/test2/memoryiit.com/_next/static/chunks/2848-da10e80353973a64d743.js	(from https://memoryiit.com/create)
